epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,120,,,,0.576744019985199,0.7135494947433472,0.2723838984966278
0,120,0.33728885650634766,0.7197936773300171,0.27021554112434387,,,
1,241,,,,0.6565725803375244,0.7322902679443359,0.3086432218551636
1,241,0.6487594246864319,0.7949801683425903,0.3560800850391388,,,
2,362,,,,0.5893900394439697,0.7282048463821411,0.3161357641220093
2,362,0.6921560764312744,0.8185215592384338,0.3888682425022125,,,
3,483,,,,0.547565221786499,0.7438976168632507,0.32984161376953125
3,483,0.6474265456199646,0.8285098075866699,0.4096783697605133,,,
4,604,,,,0.5595376491546631,0.7421213388442993,0.3345448672771454
4,604,0.6923460364341736,0.8384301066398621,0.43868446350097656,,,
5,725,,,,0.6254851818084717,0.7577268481254578,0.37293741106987
5,725,0.6669028401374817,0.8452519774436951,0.4672189950942993,,,
6,846,,,,0.5216566324234009,0.7548189163208008,0.3807954788208008
6,846,0.66526198387146,0.8502227663993835,0.5070849657058716,,,
7,967,,,,0.5254527926445007,0.7518601417541504,0.37970465421676636
7,967,0.7177518606185913,0.8610823154449463,0.5527929067611694,,,
8,1088,,,,0.5988114476203918,0.7533870935440063,0.3941158056259155
8,1088,0.7597129344940186,0.8645561933517456,0.585254430770874,,,
9,1209,,,,0.582676351070404,0.7503411769866943,0.4182909429073334
9,1209,0.7793161273002625,0.8687609434127808,0.6033647060394287,,,
10,1330,,,,0.5823548436164856,0.7661088109016418,0.42156746983528137
10,1330,0.7977561950683594,0.8736914396286011,0.6236977577209473,,,
11,1451,,,,0.5830212831497192,0.7684056162834167,0.42183566093444824
11,1451,0.7374851703643799,0.8743172883987427,0.6296636462211609,,,
12,1572,,,,0.5887510776519775,0.7639265060424805,0.4277508854866028
12,1572,0.7785696983337402,0.8808907866477966,0.6640848517417908,,,
13,1693,,,,0.5005952715873718,0.7586361169815063,0.39459413290023804
13,1693,0.7931358218193054,0.8807626366615295,0.6775174140930176,,,
14,1814,,,,0.5547160506248474,0.7661424279212952,0.4362339675426483
14,1814,0.8060382604598999,0.8845824003219604,0.6922757625579834,,,
15,1935,,,,0.5631456971168518,0.7604695558547974,0.43927568197250366
15,1935,0.812599778175354,0.8875211477279663,0.7001757621765137,,,
16,2056,,,,0.6001115441322327,0.771811842918396,0.471343070268631
16,2056,0.8178360462188721,0.8900547027587891,0.7062471508979797,,,
17,2177,,,,0.5995128750801086,0.7641904950141907,0.4694938659667969
17,2177,0.8235659599304199,0.8919026255607605,0.7138919234275818,,,
18,2298,,,,0.5633536577224731,0.7595662474632263,0.4413696527481079
18,2298,0.829106867313385,0.8939172625541687,0.7208325862884521,,,
19,2419,,,,0.5797935724258423,0.7701714634895325,0.4568963944911957
19,2419,0.8349550366401672,0.8962963819503784,0.7290531396865845,,,
20,2540,,,,0.5930107235908508,0.7708846926689148,0.46636974811553955
20,2540,0.8374921083450317,0.8971865773200989,0.7317410707473755,,,
21,2661,,,,0.5888773798942566,0.7768300771713257,0.46611765027046204
21,2661,0.8429310917854309,0.8998668193817139,0.7391509413719177,,,
22,2782,,,,0.5874197483062744,0.7690032720565796,0.45903274416923523
22,2782,0.8447405695915222,0.9009822607040405,0.7417733669281006,,,
23,2903,,,,0.5789540410041809,0.7725619077682495,0.4568955600261688
23,2903,0.8450173735618591,0.9016741514205933,0.7420603632926941,,,
24,3024,,,,0.591663122177124,0.7584746479988098,0.4647458493709564
24,3024,0.848598062992096,0.9023330211639404,0.7472600340843201,,,
25,3145,,,,0.6007901430130005,0.7696424126625061,0.4726235866546631
25,3145,0.854731559753418,0.9055196046829224,0.7559744119644165,,,
26,3266,,,,0.6096307039260864,0.7668609619140625,0.4792856276035309
26,3266,0.8527874946594238,0.9047600030899048,0.7527152299880981,,,
27,3387,,,,0.6014873385429382,0.7716233730316162,0.47616246342658997
27,3387,0.8569401502609253,0.9057657718658447,0.7587693333625793,,,
28,3508,,,,0.5906559228897095,0.7728243470191956,0.46518275141716003
28,3508,0.8598623275756836,0.9080433249473572,0.7631897330284119,,,
29,3629,,,,0.5854781270027161,0.764728307723999,0.45959237217903137
29,3629,0.8627449870109558,0.9083560705184937,0.7671071887016296,,,
30,3750,,,,0.5855096578598022,0.771715521812439,0.4611205756664276
30,3750,0.8642953634262085,0.9102388024330139,0.7697592377662659,,,
31,3871,,,,0.6046752333641052,0.773474395275116,0.47693851590156555
31,3871,0.8636733293533325,0.9107584357261658,0.7685998678207397,,,
32,3992,,,,0.5902897119522095,0.765745997428894,0.4630725681781769
32,3992,0.867087721824646,0.911218523979187,0.7732072472572327,,,
33,4113,,,,0.5919346213340759,0.7639141082763672,0.46206629276275635
33,4113,0.8686889410018921,0.9129630923271179,0.7755077481269836,,,
34,4234,,,,0.5776946544647217,0.7661051154136658,0.4511822760105133
34,4234,0.8681409358978271,0.912126898765564,0.7750602960586548,,,
35,4355,,,,0.5891878604888916,0.7618587017059326,0.46212238073349
35,4355,0.8724607229232788,0.9147364497184753,0.7813290357589722,,,
36,4476,,,,0.6013197898864746,0.7662060856819153,0.4692946970462799
36,4476,0.8726090788841248,0.9153291583061218,0.7814218401908875,,,
37,4597,,,,0.6000354290008545,0.7679607272148132,0.47195813059806824
37,4597,0.8738836646080017,0.9158977270126343,0.7836282253265381,,,
38,4718,,,,0.5835229754447937,0.771321177482605,0.4578612744808197
38,4718,0.8735814690589905,0.9160474538803101,0.7829413414001465,,,
39,4839,,,,0.5775686502456665,0.7561900615692139,0.45147600769996643
39,4839,0.8756916522979736,0.9164015054702759,0.7858442664146423,,,
40,4960,,,,0.6081253290176392,0.7659059762954712,0.4750179946422577
40,4960,0.8768908381462097,0.9167519211769104,0.7880502939224243,,,
41,5081,,,,0.6109878420829773,0.7708067297935486,0.47815924882888794
41,5081,0.8791700005531311,0.9184237718582153,0.7911290526390076,,,
42,5202,,,,0.5952848792076111,0.7614306807518005,0.4657888412475586
42,5202,0.8798237442970276,0.9192937016487122,0.792273998260498,,,
43,5323,,,,0.5825045704841614,0.769425630569458,0.456514447927475
43,5323,0.8800381422042847,0.9201887249946594,0.7923327684402466,,,
44,5444,,,,0.6180729866027832,0.7723215222358704,0.486440509557724
44,5444,0.8815409541130066,0.9205894470214844,0.7947119474411011,,,
45,5565,,,,0.6094017624855042,0.7740136981010437,0.478279173374176
45,5565,0.8818885087966919,0.9201831221580505,0.7953376770019531,,,
46,5686,,,,0.6021367907524109,0.7722284197807312,0.470045268535614
46,5686,0.8843147158622742,0.9222986102104187,0.7991735935211182,,,
47,5807,,,,0.5953524708747864,0.771238386631012,0.4665977358818054
47,5807,0.8852353096008301,0.9226523637771606,0.8005430698394775,,,
48,5928,,,,0.5875086784362793,0.7623587846755981,0.45782119035720825
48,5928,0.8863597512245178,0.9232751727104187,0.8021450638771057,,,
49,6049,,,,0.579472005367279,0.7667378187179565,0.4531202018260956
49,6049,0.8863202333450317,0.9234796762466431,0.8020676970481873,,,
50,6170,,,,0.5992681980133057,0.7665166854858398,0.469335675239563
50,6170,0.8876945376396179,0.9241592884063721,0.804141640663147,,,
51,6291,,,,0.6106417179107666,0.772230863571167,0.47825682163238525
51,6291,0.8872841596603394,0.9238244295120239,0.8035141229629517,,,
52,6412,,,,0.6028438806533813,0.7694167494773865,0.473349928855896
52,6412,0.8890083432197571,0.9246082901954651,0.8059882521629333,,,
53,6533,,,,0.5770484805107117,0.7622859477996826,0.4497598707675934
53,6533,0.8904516696929932,0.9259334206581116,0.8084324598312378,,,
54,6654,,,,0.574100136756897,0.7648757696151733,0.4499582350254059
54,6654,0.8914704322814941,0.9261155724525452,0.8100377321243286,,,
55,6775,,,,0.5898446440696716,0.7616423964500427,0.45847445726394653
55,6775,0.890644907951355,0.9265002012252808,0.8086775541305542,,,
56,6896,,,,0.6095035076141357,0.7665423154830933,0.4753461480140686
56,6896,0.8921929001808167,0.9273281693458557,0.8111258745193481,,,
57,7017,,,,0.5922137498855591,0.7641549110412598,0.46323835849761963
57,7017,0.8919010758399963,0.9273027777671814,0.8105999827384949,,,
58,7138,,,,0.5936497449874878,0.7723900079727173,0.4650769829750061
58,7138,0.8938775062561035,0.9281787276268005,0.81368088722229,,,
59,7259,,,,0.604863703250885,0.7760865688323975,0.4744347631931305
59,7259,0.89499831199646,0.9288241863250732,0.8154661059379578,,,
60,7380,,,,0.6126286387443542,0.771935224533081,0.4809719920158386
60,7380,0.895472526550293,0.9291425943374634,0.8163365721702576,,,
61,7501,,,,0.6128964424133301,0.7757645845413208,0.48203495144844055
61,7501,0.8947871923446655,0.9290334582328796,0.8151371479034424,,,
