frame,baseline_elapsed_s,baseline_miou,hybrid_source,hybrid_elapsed_s,hybrid_valid_pct,hybrid_miou
0,0.3860,0.7870,model,0.6592,1.0000,0.7870
1,0.3744,,flow,0.3076,0.9876,
2,0.3581,,flow,0.2015,0.9645,
3,0.3648,,flow,0.2016,0.9546,
4,0.3682,,model,0.3594,1.0000,
5,0.3646,,flow,0.2016,0.9931,
6,0.3652,,flow,0.2020,0.9769,
7,0.3639,,flow,0.2016,0.9709,
8,0.3679,,flow,0.2017,0.9594,
9,0.3694,,model,0.3669,1.0000,
10,0.3683,,flow,0.2016,0.9692,
11,0.3576,,flow,0.2015,0.9533,
12,0.3599,,model,0.3699,1.0000,
13,0.3615,,flow,0.2017,0.9836,
14,0.3805,,model,0.3674,1.0000,
15,0.3598,,flow,0.2021,0.9750,
16,0.3675,,model,0.3571,1.0000,
17,0.3729,,flow,0.1993,0.9827,
18,0.3705,,model,0.3621,1.0000,
19,0.3630,,flow,0.1989,0.9895,
20,0.3681,,flow,0.1989,0.9701,
21,0.3676,,flow,0.1989,0.9573,
22,0.3695,,model,0.3642,1.0000,
23,0.3590,,flow,0.1989,0.9914,
24,0.3731,,flow,0.1989,0.9815,
25,0.3711,,flow,0.1993,0.9783,
26,0.3702,,flow,0.1989,0.9711,
27,0.3688,,flow,0.1989,0.9637,
28,0.3655,,flow,0.1989,0.9519,
29,0.3626,,model,0.3632,1.0000,
