frame,baseline_elapsed_s,baseline_miou,hybrid_source,hybrid_elapsed_s,hybrid_valid_pct,hybrid_miou
0,0.3665,0.7870,model,0.6392,1.0000,0.7870
1,0.3647,,flow,0.3055,0.9876,
2,0.3637,,flow,0.1942,0.9645,
3,0.3688,,flow,0.1943,0.9546,
4,0.3693,,model,0.3629,1.0000,
5,0.3677,,flow,0.1942,0.9931,
6,0.3615,,flow,0.1941,0.9769,
7,0.3674,,flow,0.1941,0.9709,
8,0.3665,,flow,0.1946,0.9594,
9,0.3683,,model,0.3694,1.0000,
10,0.3688,,flow,0.1942,0.9692,
11,0.3694,,flow,0.1942,0.9533,
12,0.3602,,model,0.3574,1.0000,
13,0.3591,,flow,0.1980,0.9836,
14,0.3626,,model,0.3650,1.0000,
15,0.3696,,flow,0.1942,0.9750,
16,0.3611,,model,0.3581,1.0000,
17,0.3636,,flow,0.1953,0.9827,
18,0.3721,,model,0.3628,1.0000,
19,0.3586,,flow,0.1920,0.9895,
20,0.3822,,flow,0.1925,0.9701,
21,0.3765,,flow,0.1921,0.9573,
22,0.3649,,model,0.3752,1.0000,
23,0.3689,,flow,0.1920,0.9914,
24,0.3719,,flow,0.1920,0.9815,
25,0.3674,,flow,0.1920,0.9783,
26,0.3685,,flow,0.1920,0.9711,
27,0.3652,,flow,0.1920,0.9637,
28,0.3588,,flow,0.1924,0.9519,
29,0.3823,,model,0.3742,1.0000,
30,0.3727,,flow,0.1920,0.9908,
31,0.3596,,flow,0.1922,0.9847,
32,0.3590,,flow,0.1924,0.9578,
33,0.3726,,flow,0.1893,0.9574,
34,0.3591,,model,0.3753,1.0000,
35,0.3597,,flow,0.1894,0.9946,
36,0.3646,,flow,0.1894,0.9808,
37,0.3581,,flow,0.1899,0.9706,
38,0.3630,,flow,0.1894,0.9671,
39,0.3650,,flow,0.1897,0.9669,
40,0.3650,,flow,0.1895,0.9601,
41,0.3642,,flow,0.1895,0.9532,
42,0.3690,,model,0.3706,1.0000,
43,0.3641,,flow,0.1894,0.9948,
44,0.3596,,flow,0.1894,0.9775,
45,0.3668,,flow,0.1894,0.9726,
46,0.3666,,flow,0.1894,0.9679,
47,0.3667,,flow,0.1895,0.9674,
48,0.3601,,flow,0.1894,0.9619,
49,0.3784,,flow,0.1960,0.9598,
50,0.3694,,model,0.3603,1.0000,
51,0.3780,,flow,0.1961,0.9852,
52,0.3691,,flow,0.1961,0.9619,
53,0.3744,,flow,0.1961,0.9609,
54,0.3611,,flow,0.1966,0.9538,
55,0.3588,,model,0.3685,1.0000,
56,0.3579,,flow,0.1963,0.9865,
57,0.3665,,flow,0.1961,0.9863,
58,0.3678,,flow,0.1962,0.9821,
59,0.3753,,flow,0.1961,0.9763,
60,0.3696,,model,0.3713,1.0000,
61,0.3692,,flow,0.1961,0.9935,
62,0.3631,,flow,0.1963,0.9588,
63,0.3743,,flow,0.1961,0.9582,
64,0.3598,,flow,0.1962,0.9540,
65,0.3586,,flow,0.1844,0.9531,
66,0.3726,,model,0.3718,1.0000,
67,0.3679,,flow,0.1843,0.9900,
68,0.3690,,flow,0.1843,0.9713,
69,0.3602,,flow,0.1843,0.9706,
70,0.3604,,flow,0.1843,0.9553,
71,0.3726,,flow,0.1843,0.9547,
72,0.3743,,model,0.3722,1.0000,
73,0.3636,,flow,0.1847,0.9755,
74,0.3475,,flow,0.1843,0.9571,
75,0.3783,,model,0.3724,1.0000,
76,0.3695,,flow,0.1844,0.9759,
77,0.3627,,flow,0.1843,0.9742,
78,0.3413,,flow,0.1843,0.9669,
79,0.3649,,flow,0.1844,0.9601,
80,0.3620,,model,0.3670,1.0000,
81,0.3714,,flow,0.1883,0.9871,
82,0.3598,,flow,0.1882,0.9712,
83,0.3640,,flow,0.1886,0.9704,
84,0.3624,,flow,0.1881,0.9686,
85,0.3786,,flow,0.1884,0.9662,
86,0.3659,,flow,0.1882,0.9582,
87,0.3727,,flow,0.1881,0.9555,
88,0.3638,,model,0.3680,1.0000,
89,0.3767,,flow,0.1911,0.9813,
90,0.3622,,flow,0.1886,0.9644,
91,0.3688,,flow,0.1881,0.9583,
92,0.3605,,model,0.3609,1.0000,
93,0.3596,,flow,0.1881,0.9951,
94,0.3699,,flow,0.1881,0.9766,
95,0.3619,,flow,0.1881,0.9734,
96,0.3674,,flow,0.1882,0.9653,
97,0.3735,,flow,0.1809,0.9589,
98,0.3729,,flow,0.1807,0.9529,
99,0.3652,,flow,0.1808,0.9517,
