frame,baseline_elapsed_s,baseline_miou,hybrid_source,hybrid_elapsed_s,hybrid_valid_pct,hybrid_miou
0,0.4024,0.8666,model,0.6681,1.0000,0.8666
1,0.3935,,flow,0.3093,0.9967,
2,0.3951,,flow,0.2186,0.9919,
3,0.3895,,flow,0.2184,0.9897,
4,0.3923,,flow,0.2181,0.9839,
5,0.3995,,flow,0.2186,0.9824,
6,0.4081,,flow,0.2183,0.9785,
7,0.3994,,flow,0.2181,0.9693,
8,0.3992,,flow,0.2181,0.9652,
9,0.3999,,flow,0.2181,0.9644,
10,0.3908,,flow,0.2181,0.9595,
11,0.3999,,flow,0.2182,0.9590,
12,0.4009,,flow,0.2186,0.9557,
13,0.3995,,flow,0.2186,0.9552,
14,0.3968,,flow,0.2182,0.9532,
15,0.3937,,flow,0.2186,0.9524,
16,0.3897,,flow,0.2182,0.9511,
17,0.4039,,flow,0.2309,0.9505,
18,0.4004,,model,0.3952,1.0000,
19,0.4025,,flow,0.2298,0.9959,
20,0.3910,,flow,0.2297,0.9931,
21,0.3925,,flow,0.2293,0.9922,
22,0.3929,,flow,0.2292,0.9890,
23,0.3929,,flow,0.2296,0.9872,
24,0.3910,,flow,0.2293,0.9858,
25,0.3906,,flow,0.2293,0.9850,
26,0.3917,,flow,0.2297,0.9819,
27,0.4020,,flow,0.2292,0.9813,
28,0.3947,,flow,0.2294,0.9800,
29,0.3910,,flow,0.2293,0.9793,
