frame,baseline_elapsed_s,baseline_miou,hybrid_source,hybrid_elapsed_s,hybrid_valid_pct,hybrid_miou
0,0.3961,0.8666,model,0.7400,1.0000,0.8666
1,0.4023,,flow,0.2706,0.9967,
2,0.3888,,flow,0.1910,0.9919,
3,0.3933,,flow,0.1914,0.9897,
4,0.3874,,flow,0.1909,0.9839,
5,0.3925,,flow,0.1914,0.9824,
6,0.3890,,flow,0.1909,0.9785,
7,0.3978,,flow,0.1916,0.9693,
8,0.3877,,flow,0.1910,0.9652,
9,0.3969,,flow,0.1910,0.9644,
10,0.3924,,flow,0.1910,0.9595,
11,0.3894,,flow,0.1910,0.9590,
12,0.3949,,flow,0.1916,0.9557,
13,0.3977,,flow,0.1910,0.9552,
14,0.3968,,flow,0.1915,0.9532,
15,0.3998,,flow,0.1909,0.9524,
16,0.3883,,flow,0.1916,0.9511,
17,0.4032,,flow,0.1926,0.9505,
18,0.4110,,model,0.3900,1.0000,
19,0.4121,,flow,0.1934,0.9959,
20,0.4049,,flow,0.1926,0.9931,
21,0.3907,,flow,0.1925,0.9922,
22,0.4010,,flow,0.1929,0.9890,
23,0.3899,,flow,0.1928,0.9872,
24,0.3910,,flow,0.1928,0.9858,
25,0.4027,,flow,0.1924,0.9850,
26,0.3905,,flow,0.1929,0.9819,
27,0.3899,,flow,0.1924,0.9813,
28,0.3917,,flow,0.1924,0.9800,
29,0.3900,,flow,0.1924,0.9793,
30,0.3936,,flow,0.1925,0.9773,
31,0.3969,,flow,0.1924,0.9766,
32,0.3997,,flow,0.1924,0.9748,
33,0.3987,,flow,0.2042,0.9742,
34,0.3866,,flow,0.2039,0.9724,
35,0.3871,,flow,0.2039,0.9717,
36,0.3916,,flow,0.2039,0.9694,
37,0.4113,,flow,0.2044,0.9671,
38,0.4122,,flow,0.2047,0.9658,
39,0.4026,,flow,0.2045,0.9653,
40,0.3885,,flow,0.2040,0.9639,
41,0.3963,,flow,0.2039,0.9633,
42,0.3888,,flow,0.2041,0.9623,
43,0.3970,,flow,0.2039,0.9612,
44,0.3879,,flow,0.2040,0.9593,
45,0.3880,,flow,0.2040,0.9578,
46,0.3989,,flow,0.2040,0.9564,
47,0.3879,,flow,0.2044,0.9555,
48,0.3983,,flow,0.2040,0.9538,
49,0.3926,,flow,0.2162,0.9530,
50,0.3928,,model,0.3900,1.0000,
51,0.3911,,flow,0.2164,0.9978,
52,0.4037,,flow,0.2161,0.9900,
53,0.3998,,flow,0.2160,0.9895,
54,0.3999,,flow,0.2159,0.9874,
55,0.4027,,flow,0.2166,0.9863,
56,0.3976,,flow,0.2159,0.9839,
57,0.3900,,flow,0.2164,0.9822,
58,0.4010,,flow,0.2166,0.9757,
59,0.3918,,flow,0.2165,0.9752,
60,0.4000,,flow,0.2164,0.9730,
61,0.4017,,flow,0.2165,0.9720,
62,0.3999,,flow,0.2163,0.9595,
63,0.4088,,flow,0.2164,0.9587,
64,0.4106,,flow,0.2166,0.9567,
65,0.4031,,flow,0.2068,0.9556,
66,0.4072,,flow,0.2070,0.9535,
67,0.3967,,flow,0.2074,0.9502,
68,0.3904,,model,0.3924,1.0000,
69,0.3962,,flow,0.2073,0.9921,
70,0.3962,,flow,0.2068,0.9893,
71,0.4002,,flow,0.2072,0.9878,
72,0.3997,,flow,0.2073,0.9845,
73,0.3901,,flow,0.2073,0.9780,
74,0.3956,,flow,0.2072,0.9759,
75,0.3946,,flow,0.2067,0.9736,
76,0.3896,,flow,0.2072,0.9713,
77,0.4001,,flow,0.2068,0.9702,
78,0.3977,,flow,0.2068,0.9685,
79,0.3997,,flow,0.2073,0.9676,
80,0.3999,,flow,0.2073,0.9659,
81,0.3870,,flow,0.1938,0.9642,
82,0.3940,,flow,0.1940,0.9613,
83,0.3897,,flow,0.1941,0.9596,
84,0.4025,,flow,0.1940,0.9564,
85,0.3968,,flow,0.1940,0.9548,
86,0.3895,,model,0.3912,1.0000,
87,0.4000,,flow,0.1940,0.9948,
88,0.3904,,flow,0.1940,0.9803,
89,0.4017,,flow,0.1945,0.9789,
90,0.3980,,flow,0.1944,0.9720,
91,0.3941,,flow,0.1940,0.9706,
92,0.3882,,flow,0.1944,0.9669,
93,0.3997,,flow,0.1944,0.9653,
94,0.3981,,flow,0.1945,0.9618,
95,0.3879,,flow,0.1940,0.9599,
96,0.3972,,model,0.3980,1.0000,
97,0.4063,,flow,0.1971,0.9888,
98,0.3989,,flow,0.1972,0.9793,
99,0.4000,,flow,0.1970,0.9776,
100,0.3997,0.9168,flow,0.1972,0.9716,0.9123
101,0.3911,,flow,0.1972,0.9628,
102,0.3954,,flow,0.1973,0.9600,
103,0.3919,,flow,0.1972,0.9592,
104,0.4182,,flow,0.1972,0.9534,
105,0.4064,,flow,0.1971,0.9524,
106,0.3944,,model,0.4085,1.0000,
107,0.3949,,flow,0.1972,0.9905,
108,0.3917,,flow,0.1972,0.9743,
109,0.4034,,flow,0.1968,0.9730,
110,0.4027,,flow,0.1968,0.9625,
111,0.3899,,flow,0.1968,0.9574,
112,0.4018,,flow,0.1972,0.9523,
113,0.3967,,flow,0.1982,0.9502,
114,0.3924,,model,0.4025,1.0000,
115,0.4025,,flow,0.1978,0.9956,
116,0.3894,,flow,0.1983,0.9910,
117,0.3923,,flow,0.1979,0.9899,
118,0.3915,,flow,0.1980,0.9743,
119,0.3917,,flow,0.1983,0.9602,
120,0.4030,,flow,0.1978,0.9543,
121,0.3986,,flow,0.1982,0.9526,
122,0.4005,,model,0.3899,1.0000,
